,EPOCH,training_loss,validation_loss
0,1,1.0233191212349189,0.7428071644913103
1,2,0.5860714797525004,0.47782858364741987
2,3,0.43811115539341233,0.39279804262692025
3,4,0.3903729835766851,0.35131664186875006
4,5,0.35743144251157355,0.33022861374652424
5,6,0.3383617167333693,0.3118343732052896
6,7,0.3225575040406796,0.3021999506126653
7,8,0.3166939651858845,0.2936799702661412
8,9,0.30386105980026484,0.28545231581436864
9,10,0.2988174602142586,0.27984279234389925
10,11,0.29347571761004326,0.28719483550147595
11,12,0.2871093551085507,0.2720317179622056
12,13,0.2746783698631537,0.2675759429396989
13,14,0.2750866160674511,0.28178041733000475
14,15,0.26783578513065787,0.2584400568580882
15,16,0.26000659394162734,0.2554243420520727
16,17,0.2577489768767872,0.25393432860557796
17,18,0.2510698403670901,0.2508207013014492
18,19,0.24942952138558366,0.24960706364170004
19,20,0.2429439996396164,0.24451373617885958
20,21,0.23847255569202183,0.24354783334141195
21,22,0.2349660476836899,0.2421844850241753
22,23,0.23129137192785446,0.2405780175412735
23,24,0.22794135979173985,0.23844303793571586
24,25,0.22451009660184143,0.23727483322847567
25,26,0.22177163599735747,0.23574191251983476
26,27,0.21909211779448748,0.23741865081128666
27,28,0.21604645603439235,0.23549600836143647
28,29,0.2132449626365446,0.23515912042703316
