,EPOCH,training_loss,validation_loss
0,1,0.486673050953212,0.15179908936772182
1,2,0.16353506457232853,0.1333336937703363
2,3,0.14453314123284047,0.12471349616997114
3,4,0.13401371412813715,0.11840725425659245
