,EPOCH,training_loss,validation_loss
0,1,0.892915382769343,0.525322307852933
1,2,0.4915030047309563,0.42165464350241477
2,3,0.42740859066367604,0.3970464620862631
3,4,0.39196967075348377,0.36582492995570043
4,5,0.36762068049537244,0.3383593955388369
5,6,0.35686545645387807,0.33366866256248945
6,7,0.3413883908975109,0.3181999573491384
7,8,0.33343983236001906,0.3144066740394241
8,9,0.33188272500733146,0.3107819250799979
9,10,0.32073839911253843,0.32760344071712205
10,11,0.32819349414216537,0.29779200970390285
11,12,0.31214161376366634,0.2965309290630572
12,13,0.31587515766880264,0.2991858992154581
13,14,0.3075408994620697,0.28927555366522273
14,15,0.29994110875187263,0.28713906998131666
15,16,0.296194396368284,0.30531063103177186
16,17,0.30240753086193045,0.2866285816504338
17,18,0.29939529987203034,0.28101236081605274
18,19,0.2939849192096131,0.29260614651565403
19,20,0.29213059131469526,0.27683379276875764
20,21,0.28481054202794015,0.27581121799719593
21,22,0.28218404135975717,0.2763116853641098
22,23,0.29320881098612955,0.2895663613218193
23,24,0.2871376701237125,0.2760307044543824
24,25,0.2845093394178841,0.2695863459181879
25,26,0.2763275799406981,0.26785555911124387
26,27,0.27477481008185833,0.2665754815020767
27,28,0.2721822907861957,0.26439743126328913
28,29,0.27197751104627177,0.26799142801614373
29,30,0.26956217273836447,0.2661476365088212
