ply,player,role,fen_before,move,fallback
140,Stockfish-Strong,white,1k6/8/2R5/pp6/P2p1NB1/8/1Q3K1P/R7 w - - 3 71,f2f1,True
137,Stockfish-Strong,black,6k1/3P3p/7P/1rP1P1p1/8/8/1n2B1K1/2b5 b - - 0 69,b5c5,True
197,Stockfish-GM,black,4k3/8/5b2/1p1p2p1/1P6/7K/8/8 b - - 11 99,f6a1,True
91,Stockfish-Strong,black,rB5n/4k3/1p5p/p1pp1N1P/P5pb/1P1P4/3QK3/1R1R3B b - - 0 46,e7e6,True
76,Stockfish-Weak,white,1nb3nr/r2k1pb1/2p5/p1P4p/P1qP2pP/1R3NNQ/6P1/K6R w - - 2 39,h1b1,True
39,Stockfish-Strong,black,r3kb1r/4pppp/n1pp3n/pB6/3P1P2/PP1KPb2/2P1Q2P/R1BN3R b k - 2 20,f7f6,True
43,Stockfish-Strong,black,rnb5/p1ppk1pr/3b2n1/4p1P1/B3Pp2/RPq2P1p/1BPP1K1P/3Q2NR b - - 0 22,c3d4,True
138,stupid1,white,6k1/3P3p/7P/2r1P1p1/8/8/1n2B1K1/2b5 w - - 0 70,e2h5,False
121,Stockfish-Strong,black,3r1b2/6k1/r1PpPp2/1Q1P3p/pp2p2P/4P1pn/4B1P1/1KR1N2R b - - 4 61,g7g8,True
122,stupid1,white,3r1bk1/8/r1PpPp2/1Q1P3p/pp2p2P/4P1pn/4B1P1/1KR1N2R w - - 5 62,e2c4,False
56,Stockfish-Weak,white,r4b2/2p1kp1r/1p5p/1p1P1qp1/1n1P2P1/P1N5/RKb2PNP/3B3R w - - 0 29,g4f5,True
64,Stockfish-Mid,white,1n5r/rpp2pk1/8/4N1pp/B2PP3/B3nPPP/P7/1R2K1NR w K - 0 33,e1d2,True
75,Stockfish-Strong,black,r3k3/1p3rb1/PPnp1Bpp/3P2p1/4Ppn1/NQ4N1/6K1/R3RB2 b - - 2 38,f7d7,True
141,Stockfish-Strong,black,B6r/4k3/p2np3/P3P3/1BP4p/4K2p/3P4/R7 b - - 4 71,e7d7,True
143,Stockfish-Weak,black,B7/4k3/2K1P1r1/7r/pR3P2/p7/P7/4R3 b - - 0 72,g6g7,True
167,Stockfish-Strong,black,8/6r1/R3N3/2P1kp2/PP5K/8/5R2/2N5 b - - 0 84,g7g5,True
66,Stockfish-Mid,white,2b3k1/3p1pr1/2q2b1p/p1pPp3/1n2PrnP/N1P1R1PN/PP2BP2/R3B1K1 w - - 1 34,a1c1,True
181,Stockfish-Mid,black,1r5k/5PN1/3P4/3N4/2B5/4K1R1/8/8 b - - 9 91,b8e8,True
52,Stockfish-Strong,white,r1b1k3/p1Pp2p1/1pnQpr2/3n1p1p/3P1PPq/2P2N1P/PBN1P3/R1K2BR1 w - - 3 27,c1b1,True
198,Stockfish-Weak,white,4k3/8/8/1p1p2p1/1P6/7K/8/b7 w - - 12 100,h3g4,True
85,Stockfish-Mid,black,2R5/b4N2/1r2bp2/k3pP1p/P1ppP2Q/1P1P1P1B/3K3P/5N2 b - - 1 43,b6c6,True
65,Stockfish-Strong,black,1n5r/rpp2pk1/8/4N1pp/B2PP3/B3nPPP/P2K4/1R4NR b - - 1 33,g5g4,True
141,Stockfish-Strong,black,1k6/8/2R5/pp6/P2p1NB1/8/1Q5P/R4K2 b - - 4 71,b5b4,True
139,Stockfish-Strong,black,6k1/3P3p/7P/2r1P1pB/8/8/1n4K1/2b5 b - - 1 70,g8f8,True
140,stupid1,white,5k2/3P3p/7P/2r1P1pB/8/8/1n4K1/2b5 w - - 2 71,g2h1,False
92,Stockfish-Weak,white,rB5n/8/1p2k2p/p1pp1N1P/P5pb/1P1P4/3QK3/1R1R3B w - - 1 47,b8g3,True
77,Stockfish-GM,black,1nb3nr/r2k1pb1/2p5/p1P4p/P1qP2pP/1R3NNQ/6P1/KR6 b - - 3 39,g7f6,True
44,Stockfish-GM,white,rnb5/p1ppk1pr/3b2n1/4p1P1/B2qPp2/RP3P1p/1BPP1K1P/3Q2NR w - - 1 23,f2e1,True
173,Stockfish-GM,black,N6k/3N4/8/2pn3K/p1P5/8/3q1n2/b7 b - - 20 87,h8h7,True
76,Stockfish-Weak,white,r3k3/1p1r2b1/PPnp1Bpp/3P2p1/4Ppn1/NQ4N1/6K1/R3RB2 w - - 3 39,a3b5,True
123,Stockfish-Strong,black,3r1bk1/8/r1PpPp2/1Q1P3p/ppB1p2P/4P1pn/6P1/1KR1N2R b - - 6 62,h3f4,True
142,Stockfish-Mid,white,B6r/3k4/p2np3/P3P3/1BP4p/4K2p/3P4/R7 w - - 5 72,a1f1,True
124,stupid1,white,3r1bk1/8/r1PpPp2/1Q1P3p/ppB1pn1P/4P1p1/6P1/1KR1N2R w - - 7 63,c4d3,False
40,Stockfish-Weak,white,r3kb1r/4p1pp/n1pp1p1n/pB6/3P1P2/PP1KPb2/2P1Q2P/R1BN3R w k - 0 21,a1b1,True
57,Stockfish-GM,black,r4b2/2p1kp1r/1p5p/1p1P1Pp1/1n1P4/P1N5/RKb2PNP/3B3R b - - 0 29,c7c5,True
144,Stockfish-GM,white,B7/4k1r1/2K1P3/7r/pR3P2/p7/P7/4R3 w - - 1 73,e1e4,True
168,Stockfish-Weak,white,8/8/R3N3/2P1kpr1/PP5K/8/5R2/2N5 w - - 1 85,a4a5,True
182,Stockfish-Strong,white,4r2k/5PN1/3P4/3N4/2B5/4K1R1/8/8 w - - 10 92,f7e8q,True
67,Stockfish-Strong,black,2b3k1/3p1pr1/2q2b1p/p1pPp3/1n2PrnP/N1P1R1PN/PP2BP2/2R1B1K1 b - - 2 34,f4f2,True
199,Stockfish-GM,black,4k3/8/8/1p1p2p1/1P4K1/8/8/b7 b - - 13 100,a1h8,True
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,True
1,stupid2,black,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,b8a6,False
86,Stockfish-GM,white,2R5/b4N2/2r1bp2/k3pP1p/P1ppP2Q/1P1P1P1B/3K3P/5N2 w - - 2 44,f3f4,True
53,Stockfish-Strong,black,r1b1k3/p1Pp2p1/1pnQpr2/3n1p1p/3P1PPq/2P2N1P/PBN1P3/RK3BR1 b - - 4 27,d5c3,True
66,Stockfish-Mid,white,1n5r/rpp2pk1/8/4N2p/B2PP1p1/B3nPPP/P2K4/1R4NR w - - 0 34,g1e2,True
142,Stockfish-Strong,white,1k6/8/2R5/p7/Pp1p1NB1/8/1Q5P/R4K2 w - - 0 72,b2g2,True
78,Stockfish-Weak,white,1nb3nr/r2k1p2/2p2b2/p1P4p/P1qP2pP/1R3NNQ/6P1/KR6 w - - 4 40,b3e3,True
93,Stockfish-Strong,black,r6n/8/1p2k2p/p1pp1N1P/P5pb/1P1P2B1/3QK3/1R1R3B b - - 2 47,h8g6,True
77,Stockfish-Strong,black,r3k3/1p1r2b1/PPnp1Bpp/1N1P2p1/4Ppn1/1Q4N1/6K1/R3RB2 b - - 4 39,c6b8,True
145,Stockfish-Weak,black,B7/4k1r1/2K1P3/7r/pR2RP2/p7/P7/8 b - - 2 73,e7f6,True
