ply,player,role,fen_before,move,fallback
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b4,True
1,Stockfish-Weak,black,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e7e5,False
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,False
2,Stockfish-Strong,white,rnbqkbnr/pppp1ppp/8/4p3/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,c2c3,True
1,Stockfish-Strong,black,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c5,True
3,Stockfish-Weak,black,rnbqkbnr/pppp1ppp/8/4p3/1P6/2P5/P2PPPPP/RNBQKBNR b KQkq - 0 2,g8f6,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b1c3,True
2,Stockfish-Strong,white,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3,False
4,Stockfish-Strong,white,rnbqkb1r/pppp1ppp/5n2/4p3/1P6/2P5/P2PPPPP/RNBQKBNR w KQkq - 1 3,d1a4,True
1,Stockfish-Mid,black,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,b8c6,True
0,Stockfish-Weak,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g2g3,False
5,Stockfish-Weak,black,rnbqkb1r/pppp1ppp/5n2/4p3/QP6/2P5/P2PPPPP/RNB1KBNR b KQkq - 2 3,c7c6,False
3,Stockfish-Strong,black,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,h2h4,True
2,Stockfish-GM,white,r1bqkbnr/pppppppp/2n5/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 2 2,f2f3,True
1,Stockfish-GM,black,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,h7h6,True
4,Stockfish-Strong,white,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,f1b5,True
6,Stockfish-Strong,white,rnbqkb1r/pp1p1ppp/2p2n2/4p3/QP6/2P5/P2PPPPP/RNB1KBNR w KQkq - 0 4,e2e4,True
1,Stockfish-Mid,black,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1,a7a5,True
2,Stockfish-Weak,white,rnbqkbnr/ppppppp1/7p/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,h2h3,False
3,Stockfish-Mid,black,r1bqkbnr/pppppppp/2n5/8/8/2N2P2/PPPPP1PP/R1BQKBNR b KQkq - 0 2,e7e5,False
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d3,True
7,Stockfish-Weak,black,rnbqkb1r/pp1p1ppp/2p2n2/4p3/QP2P3/2P5/P2P1PPP/RNB1KBNR b KQkq - 0 4,f6e4,False
5,Stockfish-Strong,black,rnbqkbnr/pp2pppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,c8d7,False
2,Stockfish-GM,white,rnbqkbnr/1ppppppp/8/p7/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,e2e4,True
3,Stockfish-GM,black,rnbqkbnr/ppppppp1/7p/8/8/6PP/PPPPPP2/RNBQKBNR b KQkq - 0 2,f7f5,True
4,Stockfish-GM,white,r1bqkbnr/pppp1ppp/2n5/4p3/8/2N2P2/PPPPP1PP/R1BQKBNR w KQkq - 0 3,g2g4,True
1,Stockfish-Weak,black,rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,g7g6,True
8,Stockfish-Strong,white,rnbqkb1r/pp1p1ppp/2p5/4p3/QP2n3/2P5/P2P1PPP/RNB1KBNR w KQkq - 0 5,g2g3,True
6,Stockfish-Strong,white,rn1qkbnr/pp1bpppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,b2b4,True
3,Stockfish-Mid,black,rnbqkbnr/1ppppppp/8/p7/4P2P/8/PPPP1PP1/RNBQKBNR b KQkq - 0 2,g7g6,True
5,Stockfish-Mid,black,r1bqkbnr/pppp1ppp/2n5/4p3/6P1/2N2P2/PPPPP2P/R1BQKBNR b KQkq - 0 3,d7d5,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,True
4,Stockfish-Weak,white,rnbqkbnr/ppppp1p1/7p/5p2/8/6PP/PPPPPP2/RNBQKBNR w KQkq - 0 3,g3g4,False
2,Stockfish-Strong,white,rnbqkbnr/pppppp1p/6p1/8/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,a2a4,True
9,Stockfish-Weak,black,rnbqkb1r/pp1p1ppp/2p5/4p3/QP2n3/2P3P1/P2P1P1P/RNB1KBNR b KQkq - 0 5,d8f6,False
7,Stockfish-Strong,black,rn1qkbnr/pp1bpppp/3p4/1Bp5/1P2P3/5N2/P1PP1PPP/RNBQK2R b KQkq - 0 4,a7a6,True
4,Stockfish-GM,white,rnbqkbnr/1ppppp1p/6p1/p7/4P2P/8/PPPP1PP1/RNBQKBNR w KQkq - 0 3,h4h5,False
1,Stockfish-Weak,black,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e7e5,False
6,Stockfish-GM,white,r1bqkbnr/ppp2ppp/2n5/3pp3/6P1/2N2P2/PPPPP2P/R1BQKBNR w KQkq - 0 4,c3d5,True
5,Stockfish-GM,black,rnbqkbnr/ppppp1p1/7p/5p2/6P1/7P/PPPPPP2/RNBQKBNR b KQkq - 0 3,e7e5,True
3,Stockfish-Weak,black,rnbqkbnr/pppppp1p/6p1/8/P7/3P4/1PP1PPPP/RNBQKBNR b KQkq - 0 2,d7d5,False
10,Stockfish-Strong,white,rnb1kb1r/pp1p1ppp/2p2q2/4p3/QP2n3/2P3P1/P2P1P1P/RNB1KBNR w KQkq - 1 6,a4d1,True
5,Stockfish-Mid,black,rnbqkbnr/1ppppp1p/6p1/p6P/4P3/8/PPPP1PP1/RNBQKBNR b KQkq - 0 3,e7e6,False
8,Stockfish-Strong,white,rn1qkbnr/1p1bpppp/p2p4/1Bp5/1P2P3/5N2/P1PP1PPP/RNBQK2R w KQkq - 0 5,b5d7,False
7,Stockfish-Mid,black,r1bqkbnr/ppp2ppp/2n5/3Np3/6P1/5P2/PPPPP2P/R1BQKBNR b KQkq - 0 4,h7h6,False
2,Stockfish-GM,white,rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,h2h4,True
6,Stockfish-Weak,white,rnbqkbnr/pppp2p1/7p/4pp2/6P1/7P/PPPPPP2/RNBQKBNR w KQkq - 0 4,d2d4,False
11,Stockfish-Weak,black,rnb1kb1r/pp1p1ppp/2p2q2/4p3/1P2n3/2P3P1/P2P1P1P/RNBQKBNR b KQkq - 2 6,f6d8,False
4,Stockfish-Strong,white,rnbqkbnr/ppp1pp1p/6p1/3p4/P7/3P4/1PP1PPPP/RNBQKBNR w KQkq - 0 3,a1a3,True
6,Stockfish-GM,white,rnbqkbnr/1ppp1p1p/4p1p1/p6P/4P3/8/PPPP1PP1/RNBQKBNR w KQkq - 0 4,g2g3,True
9,Stockfish-Strong,black,rn1qkbnr/1p1Bpppp/p2p4/2p5/1P2P3/5N2/P1PP1PPP/RNBQK2R b KQkq - 0 5,e8d7,True
8,Stockfish-GM,white,r1bqkbnr/ppp2pp1/2n4p/3Np3/6P1/5P2/PPPPP2P/R1BQKBNR w KQkq - 0 5,e2e4,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,a2a4,True
3,Stockfish-Weak,black,rnbqkbnr/pppp1ppp/8/4p3/7P/1P6/P1PPPPP1/RNBQKBNR b KQkq - 0 2,d7d5,False
7,Stockfish-GM,black,rnbqkbnr/pppp2p1/7p/4pp2/3P2P1/7P/PPP1PP2/RNBQKBNR b KQkq - 0 4,d8g5,True
12,Stockfish-Strong,white,rnbqkb1r/pp1p1ppp/2p5/4p3/1P2n3/2P3P1/P2P1P1P/RNBQKBNR w KQkq - 3 7,c1b2,True
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,a2a4,False
5,Stockfish-Weak,black,rnbqkbnr/ppp1pp1p/6p1/3p4/P7/R2P4/1PP1PPPP/1NBQKBNR b Kkq - 1 3,e7e5,False
7,Stockfish-Mid,black,rnbqkbnr/1ppp1p1p/4p1p1/p6P/4P3/6P1/PPPP1P2/RNBQKBNR b KQkq - 0 4,c7c5,True
10,Stockfish-Strong,white,rn1q1bnr/1p1kpppp/p2p4/2p5/1P2P3/5N2/P1PP1PPP/RNBQK2R w KQ - 0 6,b4c5,False
1,Stockfish-Strong,black,rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq - 0 1,c7c5,True
9,Stockfish-Mid,black,r1bqkbnr/ppp2pp1/2n4p/3Np3/4P1P1/5P2/PPPP3P/R1BQKBNR b KQkq - 0 5,d8e7,True
8,Stockfish-Weak,white,rnb1kbnr/pppp2p1/7p/4ppq1/3P2P1/7P/PPP1PP2/RNBQKBNR w KQkq - 1 5,f1g2,False
4,Stockfish-GM,white,rnbqkbnr/ppp2ppp/8/3pp3/7P/1P6/P1PPPPP1/RNBQKBNR w KQkq - 0 3,d2d4,True
1,Stockfish-Strong,black,rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq - 0 1,g8f6,True
13,Stockfish-Weak,black,rnbqkb1r/pp1p1ppp/2p5/4p3/1P2n3/2P3P1/PB1P1P1P/RN1QKBNR b KQkq - 4 7,e4g3,False
6,Stockfish-Strong,white,rnbqkbnr/ppp2p1p/6p1/3pp3/P7/R2P4/1PP1PPPP/1NBQKBNR w Kkq - 0 4,a3a1,True
8,Stockfish-GM,white,rnbqkbnr/1p1p1p1p/4p1p1/p1p4P/4P3/6P1/PPPP1P2/RNBQKBNR w KQkq - 0 5,f1g2,True
11,Stockfish-Strong,black,rn1q1bnr/1p1kpppp/p2p4/2P5/4P3/5N2/P1PP1PPP/RNBQK2R b KQ - 0 6,e7e5,True
2,Stockfish-GM,white,rnbqkbnr/pp1ppppp/8/2p5/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 2,h2h3,False
10,Stockfish-GM,white,r1b1kbnr/ppp1qpp1/2n4p/3Np3/4P1P1/5P2/PPPP3P/R1BQKBNR w KQkq - 1 6,a1b1,True
5,Stockfish-Weak,black,rnbqkbnr/ppp2ppp/8/3pp3/3P3P/1P6/P1P1PPP1/RNBQKBNR b KQkq - 0 3,b7b6,True
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,True
9,Stockfish-GM,black,rnb1kbnr/pppp2p1/7p/4ppq1/3P2P1/7P/PPP1PPB1/RNBQK1NR b KQkq - 2 5,e5e4,True
14,Stockfish-Strong,white,rnbqkb1r/pp1p1ppp/2p5/4p3/1P6/2P3n1/PB1P1P1P/RN1QKBNR w KQkq - 0 8,d1a4,True
2,Stockfish-GM,white,rnbqkb1r/pppppppp/5n2/8/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 1 2,e2e3,True
7,Stockfish-Weak,black,rnbqkbnr/ppp2p1p/6p1/3pp3/P7/3P4/1PP1PPPP/RNBQKBNR b Kkq - 1 4,d8d7,True
12,Stockfish-Strong,white,rn1q1bnr/1p1k1ppp/p2p4/2P1p3/4P3/5N2/P1PP1PPP/RNBQK2R w KQ - 0 7,h1f1,True
9,Stockfish-Mid,black,rnbqkbnr/1p1p1p1p/4p1p1/p1p4P/4P3/6P1/PPPP1PB1/RNBQK1NR b KQkq - 1 5,g8e7,False
11,Stockfish-Mid,black,r1b1kbnr/ppp1qpp1/2n4p/3Np3/4P1P1/5P2/PPPP3P/1RBQKBNR b Kkq - 2 6,e7h4,False
3,Stockfish-Strong,black,rnbqkbnr/pp1ppppp/8/2p5/P7/7P/1PPPPPP1/RNBQKBNR b KQkq - 0 2,b8a6,True
6,Stockfish-GM,white,rnbqkbnr/p1p2ppp/1p6/3pp3/3P3P/1P6/P1P1PPP1/RNBQKBNR w KQkq - 0 4,c1h6,True
1,Stockfish-Strong,black,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5,False
10,Stockfish-Weak,white,rnb1kbnr/pppp2p1/7p/5pq1/3Pp1P1/7P/PPP1PPB1/RNBQK1NR w KQkq - 0 6,f2f4,False
15,Stockfish-Weak,black,rnbqkb1r/pp1p1ppp/2p5/4p3/QP6/2P3n1/PB1P1P1P/RN2KBNR b KQkq - 1 8,g3h1,False
3,Stockfish-Strong,black,rnbqkb1r/pppppppp/5n2/8/P7/4P3/1PPP1PPP/RNBQKBNR b KQkq - 0 2,f6e4,True
8,Stockfish-Strong,white,rnb1kbnr/pppq1p1p/6p1/3pp3/P7/3P4/1PP1PPPP/RNBQKBNR w Kkq - 2 5,c1d2,True
13,Stockfish-Strong,black,rn1q1bnr/1p1k1ppp/p2p4/2P1p3/4P3/5N2/P1PP1PPP/RNBQKR2 b Q - 1 7,f8e7,True
12,Stockfish-GM,white,r1b1kbnr/ppp2pp1/2n4p/3Np3/4P1Pq/5P2/PPPP3P/1RBQKBNR w Kkq - 3 7,e1e2,True
10,Stockfish-GM,white,rnbqkb1r/1p1pnp1p/4p1p1/p1p4P/4P3/6P1/PPPP1PB1/RNBQK1NR w KQkq - 2 6,c2c3,True
4,Stockfish-GM,white,r1bqkbnr/pp1ppppp/n7/2p5/P7/7P/1PPPPPP1/RNBQKBNR w KQkq - 1 3,g2g3,True
7,Stockfish-Weak,black,rnbqkbnr/p1p2ppp/1p5B/3pp3/3P3P/1P6/P1P1PPP1/RN1QKBNR b KQkq - 1 4,g8h6,True
2,Stockfish-Strong,white,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c1d2,True
11,Stockfish-GM,black,rnb1kbnr/pppp2p1/7p/5pq1/3PpPP1/7P/PPP1P1B1/RNBQK1NR b KQkq f3 0 6,f8c5,True
16,Stockfish-Strong,white,rnbqkb1r/pp1p1ppp/2p5/4p3/QP6/2P5/PB1P1P1P/RN2KBNn w Qkq - 0 9,g1e2,True
9,Stockfish-Weak,black,rnb1kbnr/pppq1p1p/6p1/3pp3/P7/3P4/1PPBPPPP/RN1QKBNR b Kkq - 3 5,f8d6,True
4,Stockfish-GM,white,rnbqkb1r/pppppppp/8/8/P3n3/4P3/1PPP1PPP/RNBQKBNR w KQkq - 1 3,b1a3,False
0,Stockfish-Weak,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,h2h3,False
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,c2c3,True
11,Stockfish-Mid,black,rnbqkb1r/1p1pnp1p/4p1p1/p1p4P/4P3/2P3P1/PP1P1PB1/RNBQK1NR b KQkq - 0 6,e6e5,False
14,Stockfish-Strong,white,rn1q2nr/1p1kbppp/p2p4/2P1p3/4P3/5N2/P1PP1PPP/RNBQKR2 w Q - 2 8,c5d6,False
13,Stockfish-Mid,black,r1b1kbnr/ppp2pp1/2n4p/3Np3/4P1Pq/5P2/PPPPK2P/1RBQ1BNR b kq - 4 7,h8h7,True
8,Stockfish-GM,white,rnbqkb1r/p1p2ppp/1p5n/3pp3/3P3P/1P6/P1P1PPP1/RN1QKBNR w KQkq - 0 5,h4h5,True
5,Stockfish-Strong,black,r1bqkbnr/pp1ppppp/n7/2p5/P7/6PP/1PPPPP2/RNBQKBNR b KQkq - 0 3,d7d5,False
10,Stockfish-Strong,white,rnb1k1nr/pppq1p1p/3b2p1/3pp3/P7/3P4/1PPBPPPP/RN1QKBNR w Kkq - 4 6,g1f3,True
12,Stockfish-Weak,white,rnb1k1nr/pppp2p1/7p/2b2pq1/3PpPP1/7P/PPP1P1B1/RNBQK1NR w KQkq - 1 7,f4g5,False
3,Stockfish-Strong,black,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPPBPPPP/RN1QKBNR b KQkq - 1 2,e7e6,False
17,Stockfish-Weak,black,rnbqkb1r/pp1p1ppp/2p5/4p3/QP6/2P5/PB1PNP1P/RN2KB1n b Qkq - 1 9,d8f6,False
5,Stockfish-Strong,black,rnbqkb1r/pppppppp/8/8/P3n3/N3P3/1PPP1PPP/R1BQKBNR b KQkq - 2 3,c7c5,True
1,Stockfish-Strong,black,rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq - 0 1,a7a6,True
1,Stockfish-Weak,black,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1,a7a5,False
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,False
15,Stockfish-Strong,black,rn1q2nr/1p1kbppp/p2P4/4p3/4P3/5N2/P1PP1PPP/RNBQKR2 b Q - 0 8,e7d6,False
9,Stockfish-Weak,black,rnbqkb1r/p1p2ppp/1p5n/3pp2P/3P4/1P6/P1P1PPP1/RN1QKBNR b KQkq - 0 5,d8h4,True
12,Stockfish-GM,white,rnbqkb1r/1p1pnp1p/6p1/p1p1p2P/4P3/2P3P1/PP1P1PB1/RNBQK1NR w KQkq - 0 7,a2a3,True
14,Stockfish-GM,white,r1b1kbn1/ppp2ppr/2n4p/3Np3/4P1Pq/5P2/PPPPK2P/1RBQ1BNR w q - 5 8,e2e3,True
6,Stockfish-GM,white,r1bqkbnr/pp2pppp/n7/2pp4/P7/6PP/1PPPPP2/RNBQKBNR w KQkq - 0 4,b2b4,False
11,Stockfish-Weak,black,rnb1k1nr/pppq1p1p/3b2p1/3pp3/P7/3P1N2/1PPBPPPP/RN1QKB1R b Kkq - 5 6,g8f6,False
13,Stockfish-GM,black,rnb1k1nr/pppp2p1/7p/2b2pP1/3Pp1P1/7P/PPP1P1B1/RNBQK1NR b KQkq - 0 7,c5d6,False
6,Stockfish-GM,white,rnbqkb1r/pp1ppppp/8/2p5/P3n3/N3P3/1PPP1PPP/R1BQKBNR w KQkq - 0 4,d1f3,True
18,Stockfish-Strong,white,rnb1kb1r/pp1p1ppp/2p2q2/4p3/QP6/2P5/PB1PNP1P/RN2KB1n w Qkq - 2 10,a2a3,True
4,Stockfish-Strong,white,rnbqkbnr/ppp2ppp/4p3/3p4/3P4/8/PPPBPPPP/RN1QKBNR w KQkq - 0 3,f2f4,True
2,Stockfish-Weak,white,rnbqkbnr/1ppppppp/p7/8/8/7P/PPPPPPP1/RNBQKBNR w KQkq - 0 2,h1h2,True
2,Stockfish-Strong,white,rnbqkbnr/1ppppppp/8/p7/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2,g2g4,True
10,Stockfish-GM,white,rnb1kb1r/p1p2ppp/1p5n/3pp2P/3P3q/1P6/P1P1PPP1/RN1QKBNR w KQkq - 1 6,c2c4,True
16,Stockfish-Strong,white,rn1q2nr/1p1k1ppp/p2b4/4p3/4P3/5N2/P1PP1PPP/RNBQKR2 w Q - 0 9,d2d4,False
13,Stockfish-Mid,black,rnbqkb1r/1p1pnp1p/6p1/p1p1p2P/4P3/P1P3P1/1P1P1PB1/RNBQK1NR b KQkq - 0 7,f7f6,False
15,Stockfish-Mid,black,r1b1kbn1/ppp2ppr/2n4p/3Np3/4P1Pq/4KP2/PPPP3P/1RBQ1BNR b q - 6 8,h4f2,True
1,Stockfish-Mid,black,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,h7h5,True
14,Stockfish-Weak,white,rnb1k1nr/pppp2p1/3b3p/5pP1/3Pp1P1/7P/PPP1P1B1/RNBQK1NR w KQkq - 1 8,a2a3,False
12,Stockfish-Strong,white,rnb1k2r/pppq1p1p/3b1np1/3pp3/P7/3P1N2/1PPBPPPP/RN1QKB1R w Kkq - 6 7,f3e5,True
7,Stockfish-Strong,black,r1bqkbnr/pp2pppp/n7/2pp4/PP6/6PP/2PPPP2/RNBQKBNR b KQkq - 0 4,b7b6,True
7,Stockfish-Strong,black,rnbqkb1r/pp1ppppp/8/2p5/P3n3/N3PQ2/1PPP1PPP/R1B1KBNR b KQkq - 1 4,e4d6,True
5,Stockfish-Strong,black,rnbqkbnr/ppp2ppp/4p3/3p4/3P1P2/8/PPPBP1PP/RN1QKBNR b KQkq - 0 3,c7c5,False
19,Stockfish-Weak,black,rnb1kb1r/pp1p1ppp/2p2q2/4p3/QP6/P1P5/1B1PNP1P/RN2KB1n b Qkq - 0 10,f6g5,False
3,Stockfish-Strong,black,rnbqkbnr/1ppppppp/p7/8/8/7P/PPPPPPPR/RNBQKBN1 b Qkq - 1 2,g8h6,True
3,Stockfish-Weak,black,rnbqkbnr/1ppppppp/8/p7/6P1/2P5/PP1PPP1P/RNBQKBNR b KQkq - 0 2,d7d5,False
17,Stockfish-Strong,black,rn1q2nr/1p1k1ppp/p2b4/4p3/3PP3/5N2/P1P2PPP/RNBQKR2 b Q - 0 9,f7f6,True
0,Stockfish-Weak,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,a2a4,True
14,Stockfish-GM,white,rnbqkb1r/1p1pn2p/5pp1/p1p1p2P/4P3/P1P3P1/1P1P1PB1/RNBQK1NR w KQkq - 0 8,h5g6,False
1,Stockfish-Strong,black,rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq - 0 1,g7g6,True
16,Stockfish-GM,white,r1b1kbn1/ppp2ppr/2n4p/3Np3/4P1P1/4KP2/PPPP1q1P/1RBQ1BNR w q - 7 9,e3f2,True
11,Stockfish-Weak,black,rnb1kb1r/p1p2ppp/1p5n/3pp2P/2PP3q/1P6/P3PPP1/RN1QKBNR b KQkq - 0 6,h4h1,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b4,True
20,Stockfish-Strong,white,rnb1kb1r/pp1p1ppp/2p5/4p1q1/QP6/P1P5/1B1PNP1P/RN2KB1n w Qkq - 1 11,f2f4,True
8,Stockfish-GM,white,rnbqkb1r/pp1ppppp/3n4/2p5/P7/N3PQ2/1PPP1PPP/R1B1KBNR w KQkq - 2 5,f3b7,True
6,Stockfish-Strong,white,rnbqkbnr/pp3ppp/4p3/2pp4/3P1P2/8/PPPBP1PP/RN1QKBNR w KQkq - 0 4,b2b4,True
2,Stockfish-Strong,white,rnbqkbnr/ppppppp1/8/7p/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,h2h3,True
13,Stockfish-Weak,black,rnb1k2r/pppq1p1p/3b1np1/3pN3/P7/3P4/1PPBPPPP/RN1QKB1R b Kkq - 0 7,b8a6,True
15,Stockfish-GM,black,rnb1k1nr/pppp2p1/3b3p/5pP1/3Pp1P1/P6P/1PP1P1B1/RNBQK1NR b KQkq - 0 8,e4e3,True
18,Stockfish-Strong,white,rn1q2nr/1p1k2pp/p2b1p2/4p3/3PP3/5N2/P1P2PPP/RNBQKR2 w Q - 0 10,d4e5,False
4,Stockfish-Weak,white,rnbqkb1r/1ppppppp/p6n/8/8/7P/PPPPPPPR/RNBQKBN1 w Qkq - 2 3,d2d4,True
8,Stockfish-GM,white,r1bqkbnr/p3pppp/np6/2pp4/PP6/6PP/2PPPP2/RNBQKBNR w KQkq - 0 5,c1b2,True
2,Stockfish-Weak,white,rnbqkbnr/pppppp1p/6p1/8/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 2,e2e4,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,True
1,Stockfish-Strong,black,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,g7g6,True
4,Stockfish-Strong,white,rnbqkbnr/1pp1pppp/8/p2p4/6P1/2P5/PP1PPP1P/RNBQKBNR w KQkq - 0 3,d1b3,True
17,Stockfish-Mid,black,r1b1kbn1/ppp2ppr/2n4p/3Np3/4P1P1/5P2/PPPP1K1P/1RBQ1BNR b q - 0 9,f8c5,True
15,Stockfish-Mid,black,rnbqkb1r/1p1pn2p/5pP1/p1p1p3/4P3/P1P3P1/1P1P1PB1/RNBQK1NR b KQkq - 0 8,d7d6,True
12,Stockfish-GM,white,rnb1kb1r/p1p2ppp/1p5n/3pp2P/2PP4/1P6/P3PPP1/RN1QKBNq w Qkq - 0 7,d1d2,True
1,Stockfish-Weak,black,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e7e5,False
21,Stockfish-Weak,black,rnb1kb1r/pp1p1ppp/2p5/4p1q1/QP3P2/P1P5/1B1PN2P/RN2KB1n b Qkq - 0 11,b8a6,False
9,Stockfish-Strong,black,rnbqkb1r/pQ1ppppp/3n4/2p5/P7/N3P3/1PPP1PPP/R1B1KBNR b KQkq - 0 5,d8c7,True
7,Stockfish-Strong,black,rnbqkbnr/pp3ppp/4p3/2pp4/1P1P1P2/8/P1PBP1PP/RN1QKBNR b KQkq - 0 4,c5d4,False
3,Stockfish-Mid,black,rnbqkbnr/ppppppp1/8/7p/4P3/7P/PPPP1PP1/RNBQKBNR b KQkq - 0 2,g7g6,True
14,Stockfish-Strong,white,r1b1k2r/pppq1p1p/n2b1np1/3pN3/P7/3P4/1PPBPPPP/RN1QKB1R w Kkq - 1 8,d2a5,True
16,Stockfish-Weak,white,rnb1k1nr/pppp2p1/3b3p/5pP1/3P2P1/P3p2P/1PP1P1B1/RNBQK1NR w KQkq - 0 9,g2f1,False
19,Stockfish-Strong,black,rn1q2nr/1p1k2pp/p2b1p2/4P3/4P3/5N2/P1P2PPP/RNBQKR2 b Q - 0 10,d7e7,True
5,Stockfish-Strong,black,rnbqkb1r/1ppppppp/p6n/8/3P4/7P/PPP1PPPR/RNBQKBN1 b Qkq - 0 3,g7g5,True
9,Stockfish-Strong,black,r1bqkbnr/p3pppp/np6/2pp4/PP6/6PP/1BPPPP2/RN1QKBNR b KQkq - 1 5,d8d6,True
3,Stockfish-Strong,black,rnbqkbnr/pppppp1p/6p1/8/P3P3/8/1PPP1PPP/RNBQKBNR b KQkq - 0 2,f7f6,True
2,Stockfish-GM,white,rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,b1a3,True
5,Stockfish-Weak,black,rnbqkbnr/1pp1pppp/8/p2p4/6P1/1QP5/PP1PPP1P/RNB1KBNR b KQkq - 1 3,a5a4,False
