temperature,opponent,wins,losses,draws,win_rate
0.65,stockfish-weak,39,0,11,89.0
0.65,stockfish-mid,43,0,7,93.0
0.65,stockfish-strong,49,0,1,99.0
0.65,stockfish-gm,41,0,9,91.0
0.65,OVERALL,172,0,28,232.50000000000003
